Date,Price,Open,High,Low,Vol.,Change %
6/2/2022,18810.3,19052.4,19259.8,18810.3,8.95M,-1.45%
6/3/2022,18948.6,18844.9,18948.6,18430,7.13M,0.74%
6/6/2022,18844.9,18948.6,19052.4,18602.9,9.58M,-0.55%
6/7/2022,18637.4,18879.5,18879.5,18257.1,7.62M,-1.10%
6/8/2022,19329,18810.3,19432.7,18637.4,16.31M,3.71%
6/9/2022,19225.3,19467.3,19467.3,19017.8,6.26M,-0.54%
6/10/2022,19017.8,19017.8,19363.6,18983.2,6.47M,-1.08%
6/13/2022,17738.4,18533.7,18533.7,17703.8,22.24M,-6.73%
6/14/2022,17634.7,17288.9,17911.3,17288.9,12.06M,-0.58%
6/15/2022,17219.7,17461.8,17634.7,16735.7,21.51M,-2.35%
6/16/2022,17219.7,17288.9,17565.5,17219.7,9.83M,0.00%
6/17/2022,16113.3,16355.3,16666.5,16044.1,28.90M,-6.43%
6/20/2022,15560,16113.3,16355.3,15110.5,13.35M,-3.43%
6/21/2022,15525.4,15560,15836.6,15248.8,8.63M,-0.22%
6/22/2022,16217,15663.7,16528.2,15663.7,14.44M,4.45%
6/23/2022,16631.9,16078.7,16631.9,16078.7,7.78M,2.56%
6/24/2022,16389.9,16735.7,16735.7,16389.9,5.32M,-1.46%
6/27/2022,16666.5,16459,16735.7,16320.7,7.71M,1.69%
6/28/2022,17081.4,16389.9,17427.2,16355.3,17.10M,2.49%
6/29/2022,17081.4,16977.7,17358.1,16839.4,11.83M,0.00%
6/30/2022,16735.7,17116,17219.7,16735.7,9.91M,-2.02%
7/1/2022,16735.7,16424.5,16874,16217,10.43M,0.00%
7/4/2022,17012.3,16839.4,17046.9,16666.5,8.72M,1.65%
7/5/2022,17600.1,17046.9,17842.1,16943.1,22.77M,3.46%
7/6/2022,17219.7,17288.9,17669.3,17185.2,10.32M,-2.16%
7/7/2022,17358.1,17219.7,17530.9,16943.1,9.07M,0.80%
7/8/2022,17323.5,17496.4,17496.4,17254.3,7.66M,-0.20%
7/11/2022,16874,17219.7,17323.5,16804.8,11.41M,-2.59%
7/12/2022,17323.5,16943.1,17427.2,16839.4,8.08M,2.66%
7/13/2022,17496.4,17496.4,17807.6,17358.1,13.32M,1.00%
7/14/2022,17634.7,17392.6,17669.3,17392.6,10.04M,0.79%
7/15/2022,17600.1,17634.7,17773,17565.5,11.17M,-0.20%
7/18/2022,17565.5,17634.7,17773,17565.5,8.47M,-0.20%
7/19/2022,17427.2,17530.9,17565.5,17288.9,6.55M,-0.79%
7/20/2022,17669.3,17634.7,17738.4,17565.5,9.50M,1.39%
7/21/2022,17703.8,17634.7,17807.6,17634.7,9.22M,0.20%
7/22/2022,17669.3,17703.8,17911.3,17669.3,9.78M,-0.19%
7/25/2022,17461.8,17600.1,17669.3,17427.2,5.02M,-1.17%
7/26/2022,17392.6,17461.8,17600.1,17358.1,4.95M,-0.40%
7/27/2022,17219.7,17288.9,17358.1,17116,7.92M,-0.99%
7/28/2022,17669.3,17461.8,17807.6,17358.1,12.88M,2.61%
7/29/2022,17738.4,17773,17807.6,17634.7,10.24M,0.39%
8/1/2022,18326.2,17773,18326.2,17738.4,16.56M,3.31%
8/2/2022,18464.5,18291.7,18568.3,18187.9,15.06M,0.75%
8/3/2022,18602.9,18395.4,18602.9,18118.8,13.65M,0.75%
8/4/2022,18637.4,18637.4,18810.3,18533.7,15.44M,0.19%
8/5/2022,18637.4,18602.9,18637.4,18360.8,10.34M,0.00%
8/8/2022,18741.2,18672,18810.3,18533.7,12.49M,0.56%
8/9/2022,18914.1,18948.6,19086.9,18810.3,14.63M,0.92%
8/10/2022,18810.3,18948.6,18983.2,18741.2,8.79M,-0.55%
8/11/2022,18533.7,18983.2,19017.8,18499.1,15.50M,-1.47%
