Date,Price,Open,High,Low,Vol.,Change %
7/6/2020,63661,63738,64045,63277,1.56M,-0.12%
7/7/2020,64045,64506,64660,63968,1.71M,0.60%
7/8/2020,63738,63892,64045,63584,619.10K,-0.48%
7/9/2020,64199,64429,64429,63968,1.23M,0.72%
7/10/2020,63508,64045,64199,63047,1.17M,-1.08%
7/13/2020,63661,64045,64122,63277,474.20K,0.24%
7/14/2020,63738,63661,63738,63124,544.99K,0.12%
7/15/2020,64122,63892,64352,63892,1.53M,0.60%
7/16/2020,64122,64352,64429,63661,1.39M,0.00%
7/17/2020,63584,64199,64199,63584,801.33K,-0.84%
7/20/2020,63124,63354,63508,62740,889.16K,-0.72%
7/21/2020,63354,63354,63584,62740,869.90K,0.36%
7/22/2020,63354,63354,63354,63124,797.91K,0.00%
7/23/2020,63354,63354,63584,63047,1.72M,0.00%
7/24/2020,62202,63047,63200,60282,1.71M,-1.82%
7/27/2020,59130,58363,61434,58363,1.63M,-4.94%
7/28/2020,60282,59130,60513,58746,1.16M,1.95%
7/29/2020,59514,58363,59898,57671,1.06M,-1.27%
7/30/2020,59438,59591,60282,59361,1.20M,-0.13%
7/31/2020,58670,58363,59438,58363,858.67K,-1.29%
8/3/2020,60513,58363,60513,58363,539.52K,3.14%
8/4/2020,62893,61434,62893,60973,787.09K,3.93%
8/5/2020,63508,62893,63738,61741,993.80K,0.98%
8/6/2020,63584,63431,63815,62893,1.02M,0.12%
8/7/2020,63661,63738,63738,63277,661.81K,0.12%
8/10/2020,62893,63738,63892,62893,735.70K,-1.21%
8/11/2020,63047,63354,63431,62817,399.29K,0.24%
8/12/2020,63047,63047,63200,62893,396.11K,0.00%
8/13/2020,63738,63661,63738,62970,491.67K,1.10%
8/14/2020,62970,63738,63815,62893,1.05M,-1.20%
8/17/2020,63200,62970,63661,62740,496.98K,0.37%
8/18/2020,63200,63200,63431,62740,423.24K,0.00%
8/19/2020,63738,63200,63738,62970,748.74K,0.85%
8/20/2020,63738,63738,64890,63738,1.40M,0.00%
8/21/2020,63661,63738,63892,63431,1.64M,-0.12%
8/24/2020,64429,63738,64967,63738,1.95M,1.21%
8/25/2020,64429,64429,65197,64429,2.23M,0.00%
8/26/2020,64122,64429,64429,64045,2.02M,-0.48%
8/27/2020,64122,64122,64429,63892,1.28M,0.00%
8/28/2020,64045,64199,64429,63968,2.10M,-0.12%
8/31/2020,63738,64506,64890,63584,1.24M,-0.48%
9/1/2020,63738,63738,63968,63661,2.07M,0.00%
9/3/2020,66195,64276,66426,64276,3.19M,3.85%
9/4/2020,65197,65274,66119,65120,3.09M,-1.51%
9/7/2020,64199,65043,65351,64199,1.51M,-1.53%
9/8/2020,63354,64199,64429,63200,2.53M,-1.32%
9/9/2020,63124,62970,63892,62586,1.88M,-0.36%
9/10/2020,63047,63738,63968,63047,880.06K,-0.12%
9/11/2020,63200,63047,63431,62817,849.42K,0.24%
9/14/2020,63738,63584,63815,63508,758.81K,0.85%
9/15/2020,63354,63738,64122,63354,1.27M,-0.60%
9/16/2020,63661,63431,63815,62970,801.37K,0.48%
9/17/2020,63354,63354,63738,62970,1.33M,-0.48%
9/18/2020,63661,63277,63738,63277,1.52M,0.48%
9/21/2020,63738,63815,64199,63738,2.13M,0.12%
9/22/2020,64506,63738,64813,63584,2.23M,1.20%
9/23/2020,65581,64660,65658,64660,1.78M,1.67%
9/24/2020,66119,64583,66195,64583,2.08M,0.82%
9/25/2020,66042,66119,66195,65658,1.41M,-0.12%
9/28/2020,66042,65888,66195,65581,1.60M,0.00%
9/29/2020,64967,66042,66119,64352,2.05M,-1.63%
9/30/2020,64583,65274,65274,64352,745.76K,-0.59%
10/1/2020,65120,65351,65351,64660,468.33K,0.83%
10/2/2020,64506,65120,65274,61434,1.14M,-0.94%
10/5/2020,64122,64890,65274,64045,1.04M,-0.60%
10/6/2020,64429,64352,64813,63892,1.41M,0.48%
10/7/2020,65274,64199,65427,63815,1.26M,1.31%
10/8/2020,65120,65658,65658,64352,700.70K,-0.24%
10/9/2020,65120,64890,65274,64890,467.27K,0.00%
10/12/2020,65965,66042,66810,65120,2.01M,1.30%
10/13/2020,66426,66042,66733,65658,1.04M,0.70%
10/14/2020,67731,66656,68346,66579,1.54M,1.96%
10/15/2020,68038,67731,68038,66656,1.82M,0.45%
10/16/2020,67731,67962,68038,67194,853.45K,-0.45%
10/19/2020,67194,67578,67808,67194,1.34M,-0.79%
10/20/2020,67347,66810,67424,66733,1.37M,0.23%
10/21/2020,66195,67424,68038,65965,1.85M,-1.71%
10/22/2020,66503,66119,66503,65351,1.69M,0.47%
10/23/2020,67194,66733,67194,66579,839.39K,1.04%
10/26/2020,66042,67194,67424,66042,1.16M,-1.71%
10/27/2020,66042,66042,67040,65658,1.49M,0.00%
10/28/2020,64660,66042,66426,64122,1.11M,-2.09%
10/29/2020,64199,64813,65120,64122,975.78K,-0.71%
10/30/2020,63738,64199,64813,63584,1.39M,-0.72%
11/2/2020,65888,63738,65888,63738,467.40K,3.37%
11/3/2020,65274,65888,65965,65043,393.71K,-0.93%
11/4/2020,65274,65274,65658,64736,503.59K,0.00%
11/5/2020,65274,65658,65658,65120,648.16K,0.00%
11/6/2020,65274,65351,65351,64506,412.35K,0.00%
11/9/2020,65658,65274,65888,65120,1.28M,0.59%
11/10/2020,65351,66119,67040,65351,1.93M,-0.47%
11/11/2020,65197,65658,66503,65197,1.32M,-0.24%
11/12/2020,66349,65811,66426,65735,517.23K,1.77%
11/13/2020,66733,66503,66733,66195,533.16K,0.58%
11/16/2020,65888,66963,67424,65274,1.60M,-1.27%
11/17/2020,67270,65888,67270,65658,699.57K,2.10%
11/18/2020,67270,67270,67347,66810,1.16M,0.00%
11/19/2020,69267,67347,69267,67117,3.30M,2.97%
11/20/2020,71033,69881,71033,69190,1.57M,2.55%
11/23/2020,70342,70726,70957,69881,827.91K,-0.97%
11/24/2020,70957,70649,70957,69728,1.27M,0.87%
11/25/2020,71801,71033,72339,70880,1.39M,1.19%
11/26/2020,72185,71801,72185,71110,891.09K,0.53%
11/27/2020,72569,72185,72569,71571,1.54M,0.53%
11/30/2020,71417,71955,72185,70265,1.85M,-1.59%
12/1/2020,70649,69651,71571,69651,1.48M,-1.08%
12/2/2020,71801,70649,71801,70265,952.80K,1.63%
12/3/2020,71801,71801,72108,70957,940.11K,0.00%
12/4/2020,69958,71571,71801,69958,1.10M,-2.57%
12/7/2020,71494,70189,71648,70189,1.21M,2.20%
12/8/2020,71494,71417,72108,70265,896.80K,0.00%
12/9/2020,74105,71878,74105,71571,1.53M,3.65%
12/10/2020,74643,74105,75027,74028,1.66M,0.73%
12/11/2020,74643,74643,74719,73644,990.42K,0.00%
12/14/2020,76716,74643,76716,73644,1.19M,2.78%
12/15/2020,75103,76025,76639,74105,1.83M,-2.10%
12/16/2020,76716,75641,76716,75103,945.13K,2.15%
12/17/2020,73721,75718,75718,72953,2.94M,-3.90%
12/18/2020,75948,73721,75948,73721,1.34M,3.02%
