Date,Price,Open,High,Low,Vol.,Change %
4/22/2022,38500,38600,39100,38000,2.63M,0.00%
4/25/2022,35850,38500,38600,35850,2.95M,-6.88%
4/26/2022,36900,35150,37250,35150,1.86M,2.93%
4/27/2022,37200,37000,37500,36450,748.10K,0.81%
4/28/2022,36700,37200,37200,36700,974.90K,-1.34%
4/29/2022,33055,32700,33499,32656,1.71M,-9.93%
5/4/2022,33055,33055,33455,32789,1.76M,0.00%
5/5/2022,33898,33366,33898,32833,2.24M,2.55%
5/6/2022,32833,33144,33588,32833,1.78M,-3.14%
5/9/2022,30571,32478,32745,30571,2.72M,-6.89%
5/10/2022,31769,30260,31857,29728,1.95M,3.92%
5/11/2022,32035,31724,32035,31103,972.40K,0.84%
5/12/2022,29816,31414,31769,29816,1.70M,-6.93%
5/13/2022,28219,29994,30171,28219,2.65M,-5.36%
5/16/2022,28574,29461,29506,28574,1.44M,1.26%
5/17/2022,30571,28840,30571,28441,1.26M,6.99%
5/18/2022,30970,30970,31502,30349,1.45M,1.31%
5/19/2022,30748,30171,31059,30083,1.01M,-0.72%
5/20/2022,30615,30526,30970,30437,1.27M,-0.43%
5/23/2022,29594,30526,30792,29284,1.13M,-3.33%
5/24/2022,29949,29905,30038,29373,865.46K,1.20%
5/25/2022,30970,30171,31147,30171,1.20M,3.41%
5/26/2022,31147,31591,31724,31059,1.35M,0.57%
5/27/2022,31325,31147,31414,30970,1.00M,0.57%
5/30/2022,31724,31502,31813,31236,1.23M,1.27%
5/31/2022,31325,31502,31591,31059,1.16M,-1.26%
6/1/2022,31192,31147,31547,31014,1.21M,-0.42%
6/2/2022,30792,31192,31236,30615,1.02M,-1.28%
6/3/2022,30482,30792,30837,30171,643.12K,-1.01%
6/6/2022,30349,30482,30748,29994,1.04M,-0.44%
6/7/2022,29816,30260,30349,29373,1.32M,-1.76%
6/8/2022,30437,29905,30881,29861,1.11M,2.08%
6/9/2022,30615,30482,30837,30260,444.45K,0.58%
6/10/2022,29994,30216,30437,29994,885.74K,-2.03%
6/13/2022,28352,29328,29594,28352,1.63M,-5.47%
6/14/2022,28663,28308,29106,27598,1.33M,1.10%
6/15/2022,28396,28396,28840,27509,1.54M,-0.93%
6/16/2022,28663,28396,29106,28396,1.46M,0.94%
6/17/2022,28042,28352,28352,27687,1.37M,-2.17%
6/20/2022,26178,28130,28219,26178,1.10M,-6.65%
6/21/2022,26888,25823,27199,25690,1.58M,2.71%
6/22/2022,27065,26888,28042,26444,1.73M,0.66%
6/23/2022,27509,27065,27509,26666,475.89K,1.64%
6/24/2022,27687,27687,28618,27598,1.50M,0.65%
6/27/2022,28175,27775,28219,27642,931.16K,1.76%
6/28/2022,29861,28042,30127,28042,2.72M,5.98%
6/29/2022,30970,29284,30970,29284,2.64M,3.71%
6/30/2022,29728,31059,31059,29728,1.69M,-4.01%
7/1/2022,31103,29195,31680,28485,3.97M,4.63%
7/4/2022,31103,31502,31724,30970,2.06M,0.00%
7/5/2022,32212,31103,33277,31059,5.56M,3.57%
7/6/2022,31591,31769,32745,31502,3.08M,-1.93%
7/7/2022,32212,31414,32523,30437,3.18M,1.97%
7/8/2022,31059,32301,32345,31059,2.23M,-3.58%
7/11/2022,30615,30970,31192,29284,2.32M,-1.43%
7/12/2022,32301,30482,32390,30349,1.88M,5.51%
7/13/2022,31990,32124,33011,31769,2.99M,-0.96%
7/14/2022,32079,31769,32745,31724,1.70M,0.28%
7/15/2022,31769,32035,32612,31769,1.56M,-0.97%
7/18/2022,31502,31946,31946,31414,1.91M,-0.84%
7/19/2022,31635,31502,31813,31059,1.10M,0.42%
7/20/2022,32301,32124,32745,31902,1.79M,2.11%
7/21/2022,32390,32124,32700,32124,1.71M,0.28%
7/22/2022,31502,32745,32745,31502,1.41M,-2.74%
7/25/2022,31414,31502,31857,30881,1.35M,-0.28%
7/26/2022,31547,31769,31946,31502,998.21K,0.42%
