Date,Price,Open,High,Low,Vol.,Change %
5/7/2019,"25,332.90","25,485.90","25,945.10","25,179.80",1.19M,0.00%
5/8/2019,"24,758.90","25,026.70","25,256.30","24,758.90",1.42M,-2.27%
5/9/2019,"23,802.20","24,988.50","25,103.30","23,725.60",2.44M,-3.86%
5/10/2019,"24,491.00","24,108.30","24,644.10","24,031.80",1.38M,2.89%
5/13/2019,"25,026.70","24,491.00","25,103.30","24,491.00",979.04K,2.19%
5/14/2019,"24,797.10","24,835.40","24,950.20","24,491.00",1.37M,-0.92%
5/15/2019,"25,179.80","24,950.20","25,332.90","24,720.60",1.84M,1.54%
5/16/2019,"24,950.20","25,218.10","25,256.30","24,835.40",976.23K,-0.91%
5/17/2019,"24,605.80","25,026.70","25,026.70","24,491.00",1.18M,-1.38%
5/20/2019,"25,026.70","24,567.50","25,179.80","24,567.50",1.21M,1.71%
5/21/2019,"25,294.60","25,026.70","25,447.70","24,950.20",2.16M,1.07%
5/22/2019,"25,409.40","25,294.60","25,715.50","25,294.60",1.59M,0.45%
5/23/2019,"25,562.50","25,256.30","25,562.50","24,950.20",1.00M,0.60%
5/24/2019,"24,873.70","25,332.90","25,447.70","24,873.70",1.90M,-2.69%
5/27/2019,"24,950.20","24,873.70","25,026.70","24,797.10",661.59K,0.31%
5/28/2019,"24,720.60","24,873.70","25,103.30","24,605.80",1.11M,-0.92%
5/29/2019,"24,491.00","24,720.60","24,835.40","24,452.70",1.13M,-0.93%
5/30/2019,"24,337.90","24,644.10","24,720.60","24,337.90",844.96K,-0.63%
5/31/2019,"24,108.30","24,223.10","24,414.40","24,070.00",1.15M,-0.94%
6/3/2019,"23,419.50","24,031.80","24,108.30","23,419.50",1.63M,-2.86%
6/4/2019,"24,491.00","23,419.50","24,491.00","23,381.20",1.09M,4.58%
6/5/2019,"24,031.80","24,491.00","24,644.10","24,031.80",607.13K,-1.87%
6/6/2019,"23,955.20","24,031.80","24,261.40","23,649.10",414.54K,-0.32%
6/7/2019,"24,261.40","23,955.20","24,261.40","23,955.20",577.67K,1.28%
6/10/2019,"24,261.40","24,337.90","24,567.50","24,261.40",593.04K,0.00%
6/11/2019,"24,414.40","24,337.90","24,491.00","24,184.80",734.99K,0.63%
6/12/2019,"24,108.30","24,261.40","24,414.40","24,070.00",441.84K,-1.25%
6/13/2019,"24,108.30","24,031.80","24,299.60","24,031.80",363.65K,0.00%
6/14/2019,"24,605.80","24,261.40","24,682.30","24,108.30",2.00M,2.06%
6/17/2019,"24,567.50","24,644.10","24,911.90","24,452.70",872.48K,-0.16%
6/18/2019,"24,491.00","24,414.40","24,567.50","24,261.40",344.21K,-0.31%
6/19/2019,"24,491.00","24,797.10","24,797.10","24,452.70",580.83K,0.00%
6/20/2019,"24,988.50","24,491.00","25,026.70","24,414.40",1.44M,2.03%
6/21/2019,"24,873.70","25,026.70","25,218.10","24,835.40",630.94K,-0.46%
6/24/2019,"24,950.20","24,988.50","25,256.30","24,797.10",943.43K,0.31%
6/25/2019,"24,567.50","24,950.20","25,026.70","24,567.50",923.72K,-1.53%
6/26/2019,"24,873.70","24,491.00","24,911.90","24,414.40",1.32M,1.25%
6/27/2019,"24,491.00","24,835.40","24,835.40","24,491.00",836.14K,-1.54%
6/28/2019,"24,261.40","24,491.00","24,644.10","24,031.80",821.52K,-0.94%
7/1/2019,"24,758.90","24,644.10","24,873.70","24,567.50",692.29K,2.05%
7/2/2019,"24,529.30","24,567.50","24,797.10","24,529.30",571.93K,-0.93%
7/3/2019,"24,567.50","24,491.00","24,797.10","24,491.00",515.51K,0.16%
7/4/2019,"25,103.30","24,797.10","25,141.50","24,644.10",1.44M,2.18%
7/5/2019,"25,103.30","24,988.50","25,409.40","24,950.20",1.52M,0.00%
7/8/2019,"24,911.90","25,179.80","25,179.80","24,797.10",709.57K,-0.76%
7/9/2019,"24,950.20","24,797.10","25,026.70","24,797.10",507.71K,0.15%
7/10/2019,"24,797.10","24,950.20","25,141.50","24,797.10",879.25K,-0.61%
7/11/2019,"25,600.70","24,950.20","25,639.00","24,797.10",3.10M,3.24%
7/12/2019,"25,562.50","25,639.00","25,868.60","25,485.90",1.78M,-0.15%
7/15/2019,"25,485.90","25,485.90","25,639.00","25,447.70",1.15M,-0.30%
7/16/2019,"26,442.60","25,600.70","26,442.60","25,600.70",4.14M,3.75%
7/17/2019,"26,442.60","26,404.30","26,710.50","26,213.00",1.95M,0.00%
7/18/2019,"26,557.40","26,366.10","26,557.40","26,174.70",1.81M,0.43%
7/19/2019,"26,710.50","26,787.00","27,093.20","26,557.40",2.15M,0.58%
7/22/2019,"27,361.00","26,940.10","27,514.10","26,787.00",3.60M,2.44%
7/23/2019,"26,978.30","27,361.00","27,361.00","26,557.40",2.68M,-1.40%
7/24/2019,"26,366.10","27,093.20","27,093.20","26,174.70",2.37M,-2.27%
7/25/2019,"26,940.10","26,251.30","26,940.10","26,251.30",1.66M,2.18%
7/26/2019,"27,399.30","26,787.00","27,475.80","26,787.00",2.75M,1.70%
7/29/2019,"27,399.30","27,322.80","27,399.30","27,016.60",1.70M,0.00%
7/30/2019,"26,787.00","27,246.20","27,246.20","26,748.70",2.04M,-2.23%
7/31/2019,"27,169.70","26,787.00","27,169.70","26,557.40",1.17M,1.43%
8/1/2019,"27,131.40","27,169.70","27,169.70","26,825.30",936.57K,-0.14%
8/2/2019,"27,399.30","26,787.00","27,552.40","26,710.50",2.29M,0.99%
8/5/2019,"27,399.30","27,169.70","27,399.30","27,131.40",2.48M,0.00%
8/6/2019,"26,940.10","26,404.30","27,284.50","26,404.30",1.55M,-1.68%
8/7/2019,"26,557.40","27,054.90","27,169.70","26,557.40",1.36M,-1.42%
8/8/2019,"26,557.40","26,557.40","26,901.80","26,519.10",1.14M,0.00%
8/9/2019,"26,557.40","26,787.00","26,787.00","26,174.70",1.26M,0.00%
8/12/2019,"27,054.90","26,672.20","27,093.20","26,059.90",1.73M,1.87%
8/13/2019,"26,710.50","26,825.30","27,093.20","26,595.70",1.03M,-1.27%
8/14/2019,"26,863.50","27,016.60","27,093.20","26,595.70",654.82K,0.57%
8/15/2019,"26,863.50","26,404.30","26,863.50","26,404.30",693.16K,0.00%
8/16/2019,"27,552.40","26,787.00","28,088.10","26,710.50",4.07M,2.56%
8/19/2019,"28,088.10","27,935.00","28,317.70","27,782.00",1.42M,1.94%
8/20/2019,"28,164.60","28,279.40","28,279.40","27,973.30",1.01M,0.27%
8/21/2019,"28,968.20","27,935.00","29,274.40","27,935.00",3.38M,2.85%
8/22/2019,"28,776.90","29,083.00","29,159.60","28,700.40",2.04M,-0.66%
8/23/2019,"28,738.60","28,930.00","28,930.00","28,432.50",1.23M,-0.13%
8/26/2019,"28,968.20","28,241.20","28,968.20","28,011.60",2.27M,0.80%
8/27/2019,"28,700.40","29,312.60","29,389.20","28,700.40",1.47M,-0.92%
8/28/2019,"28,776.90","28,700.40","29,083.00","28,623.80",1.17M,0.27%
8/29/2019,"29,006.50","28,776.90","29,006.50","28,585.60",1.67M,0.80%
8/30/2019,"29,657.10","29,236.10","29,695.30","29,044.80",2.75M,2.24%
9/3/2019,"29,618.80","29,695.30","29,924.90","29,580.50",1.04M,-0.13%
9/4/2019,"29,542.20","29,618.80","29,695.30","29,083.00",1.16M,-0.26%
9/5/2019,"29,465.70","29,695.30","29,886.70","29,465.70",1.18M,-0.26%
9/6/2019,"29,083.00","29,465.70","29,465.70","28,738.60",1.92M,-1.30%
9/9/2019,"29,159.60","29,083.00","29,159.60","28,891.70",1.01M,0.26%
9/10/2019,"29,312.60","29,044.80","29,542.20","28,930.00",1.26M,0.52%
9/11/2019,"29,236.10","29,083.00","29,389.20","29,044.80",653.09K,-0.26%
9/12/2019,"29,580.50","29,350.90","29,657.10","29,083.00",2.22M,1.18%
9/13/2019,"30,498.90","29,733.60","30,498.90","29,542.20",2.90M,3.10%
9/16/2019,"30,613.70","30,498.90","31,226.00","30,460.70",1.57M,0.38%
9/17/2019,"31,379.10","30,384.10","31,379.10","30,154.50",1.97M,2.50%
9/18/2019,"31,493.90","31,302.50","31,570.40","31,034.70",2.05M,0.37%
9/19/2019,"31,226.00","31,532.10","31,570.40","31,187.70",1.29M,-0.85%
9/20/2019,"30,613.70","31,226.00","31,455.60","30,460.70",2.77M,-1.96%
9/23/2019,"30,345.90","30,384.10","30,996.40","30,307.60",1.37M,-0.87%
9/24/2019,"30,192.80","30,460.70","30,613.70","30,192.80",1.03M,-0.50%
9/25/2019,"30,537.20","30,039.70","30,537.20","29,771.90",1.82M,1.14%
9/26/2019,"30,728.50","30,537.20","31,149.50","30,537.20",1.12M,0.63%
9/27/2019,"30,805.10","30,843.30","30,919.90","30,652.00",1.10M,0.25%
9/30/2019,"30,154.50","30,766.80","31,111.20","30,154.50",1.80M,-2.11%
10/1/2019,"30,613.70","30,154.50","30,613.70","30,154.50",1.08M,1.52%
10/2/2019,"30,766.80","30,613.70","31,226.00","30,575.50",1.89M,0.50%
10/3/2019,"31,570.40","30,460.70","31,570.40","30,422.40",2.44M,2.61%
10/4/2019,"30,996.40","31,608.70","31,876.50","30,996.40",1.11M,-1.82%
10/7/2019,"30,919.90","31,302.50","31,302.50","30,613.70",1.02M,-0.25%
10/8/2019,"31,455.60","30,919.90","31,455.60","30,690.30",818.03K,1.73%
10/9/2019,"31,570.40","31,455.60","31,991.30","31,226.00",1.78M,0.36%
10/10/2019,"31,379.10","31,570.40","31,914.80","31,379.10",1.33M,-0.61%
10/11/2019,"31,226.00","31,379.10","31,532.10","31,149.50",695.06K,-0.49%
10/14/2019,"31,493.90","31,379.10","32,106.10","31,264.30",1.74M,0.86%
10/15/2019,"31,685.20","31,379.10","31,800.00","31,379.10",794.63K,0.61%
